customer_state,total_orders,avg_delivery_days,avg_delivery_delay_days,delayed_orders,delay_rate
AL,397,24.04030226700252,-8.707808564231739,85,0.2141
MA,717,21.11715481171548,-9.571827057182706,125,0.1743
SE,335,21.029850746268657,-10.02089552238806,51,0.1522
PI,476,18.993697478991596,-11.306722689075631,66,0.1387
CE,1279,20.817826426896012,-10.80453479280688,176,0.1376
RR,41,28.975609756097562,-17.29268292682927,5,0.122
BA,3256,18.86640049140049,-10.79453316953317,396,0.1216
RJ,12350,14.848582995951418,-11.761214574898785,1495,0.1211
PA,946,23.316067653276956,-14.066596194503171,106,0.1121
ES,1995,15.331829573934836,-10.496240601503759,214,0.1073
PB,517,19.95357833655706,-13.261121856866538,54,0.1044
TO,274,17.226277372262775,-12.13138686131387,27,0.0985
MS,701,15.191155492154065,-11.052781740370898,68,0.097
PE,1593,17.965473948524796,-13.293785310734464,153,0.096
RN,474,18.824894514767934,-13.649789029535865,44,0.0928
SC,3546,14.475183305132544,-11.503384094754653,291,0.0821
GO,1957,15.15074092999489,-12.185487991824221,128,0.0654
RS,5345,14.819236526946108,-13.910366766467066,325,0.0608
MT,886,17.59367945823928,-14.363431151241535,53,0.0598
DF,2080,12.509134615384616,-12.048076923076923,118,0.0567
MG,11354,11.542187775233398,-13.242998062356879,519,0.0457
SP,40501,8.298093544722676,-11.075542055613177,1820,0.0449
PR,4923,11.52671135486492,-13.314239284988828,199,0.0404
AC,80,20.6375,-20.725,3,0.0375
AP,67,26.73134328358209,-19.686567164179106,2,0.0299
RO,243,18.91358024691358,-20.102880658436213,7,0.0288
AM,145,25.986206896551725,-19.56551724137931,4,0.0276
