customer_state,total_orders,avg_delivery_days,avg_delivery_delay_days,delayed_orders,delay_rate
AL,397,24.04,-8.71,85,0.2141
MA,717,21.12,-9.57,125,0.1743
SE,335,21.03,-10.02,51,0.1522
PI,476,18.99,-11.31,66,0.1387
CE,1279,20.82,-10.8,176,0.1376
RR,41,28.98,-17.29,5,0.122
BA,3256,18.87,-10.79,396,0.1216
RJ,12350,14.85,-11.76,1495,0.1211
PA,946,23.32,-14.07,106,0.1121
ES,1995,15.33,-10.5,214,0.1073
PB,517,19.95,-13.26,54,0.1044
TO,274,17.23,-12.13,27,0.0985
MS,701,15.19,-11.05,68,0.097
PE,1593,17.97,-13.29,153,0.096
RN,474,18.82,-13.65,44,0.0928
SC,3546,14.48,-11.5,291,0.0821
GO,1957,15.15,-12.19,128,0.0654
RS,5345,14.82,-13.91,325,0.0608
MT,886,17.59,-14.36,53,0.0598
DF,2080,12.51,-12.05,118,0.0567
MG,11354,11.54,-13.24,519,0.0457
SP,40501,8.3,-11.08,1820,0.0449
PR,4923,11.53,-13.31,199,0.0404
AC,80,20.64,-20.73,3,0.0375
AP,67,26.73,-19.69,2,0.0299
RO,243,18.91,-20.1,7,0.0288
AM,145,25.99,-19.57,4,0.0276
