product_category_name_english,total_orders,total_items_sold,total_revenue,avg_price,avg_review_score
health_beauty,8647,9465,1412089.53,130.28,4.16
watches_gifts,5495,5859,1264333.12,199.04,4.04
bed_bath_table,9272,10953,1225209.26,93.44,3.88
sports_leisure,7530,8431,1118256.91,113.25,4.14
computers_accessories,6530,7644,1032723.77,116.26,3.97
furniture_decor,6307,8160,880329.92,87.25,3.92
housewares,5743,6795,758392.25,90.6,4.08
cool_stuff,3559,3718,691680.89,164.12,4.16
auto,3810,4140,669454.75,139.85,4.08
garden_tools,3448,4268,567145.68,110.24,4.06
